fecha,sku,qty
2026-05-21,COSD047,1
2026-05-21,ANDEC04,1
2026-05-21,ANSD022,1
2026-05-21,PACESC004,1
2026-05-21,CODU004,1
2026-05-21,COSS002,1
2026-05-21,CODU41,1
2026-05-21,ACVI006,1
2026-05-21,VITCIN03,1
2026-05-20,COSD022,1
2026-05-20,ANSD016,1
2026-05-20,ARM017,1
2026-05-20,LUZAR07,1
2026-05-20,ARDR002,1
2026-05-20,LUZCO11,1
2026-05-20,ARLA011,1
2026-05-20,COLA061,1
2026-05-20,PACESC004,1
2026-05-20,ESCROM01,1
2026-05-20,ARLA008,1
2026-05-20,ACTOPES,1
2026-05-19,CODU020,1
2026-05-18,ARSD25,1
2026-05-18,SDAN022,1
2026-05-18,LUZAN02,1
2026-05-18,ARLA024,1
2026-05-17,COMR008,1
2026-05-17,PUDU008,1
2026-05-17,ANSD105,1
2026-05-16,COSS011,1
2026-05-16,ARSS006,1
2026-05-16,ARDU001,1
2026-05-16,COMR023,1
2026-05-16,ARM015,1
2026-05-16,LUZAN03,1
2026-05-16,ARKA031,1
2026-05-16,COKA004,1
2026-05-16,ACVI002,1
2026-05-16,COMR041,1
2026-05-16,ANDV009,1
2026-05-16,ANDEC04,1
2026-05-16,ANDU004,1
2026-05-15,COSS013,1
2026-05-15,ACVI0013,1
2026-05-15,ACVI002,1
2026-05-15,COLA041,1
2026-05-14,COSD045,1
2026-05-14,ESCROM01,1
2026-05-14,ANDU009,1
2026-05-14,COSUCRE,1
2026-05-14,ANKA031,1
2026-05-14,LUZCO08,1
2026-05-13,ARDU010,1
2026-05-13,ARKA026,1
2026-05-13,ARSS009,1
2026-05-13,COSD047,1
2026-05-13,COLA060,1
2026-05-13,CODU014,1
2026-05-13,COKA005,1
2026-05-12,COSD023,1
2026-05-12,COSS010,1
2026-05-12,PUSD010,1
2026-05-12,ARSD25,1
2026-05-12,SDAN022,1
2026-05-12,ARMR011,1
2026-05-12,ARM015,1
2026-05-12,ACVI002,1
2026-05-12,ARDR002,1
2026-05-12,ARDR003,1
2026-05-12,ANDR001,1
2026-05-12,ANDR002,1
2026-05-12,ACVI006,1
2026-05-12,COLA005,1
2026-05-11,ANDEC03,1
2026-05-11,LUZCO01,1
2026-05-11,LUZAR03,1
2026-05-11,COSD051,1
2026-05-11,ARLA008,1
2026-05-11,ARSD25,1
2026-05-11,ANDEC04,1
2026-05-11,ARMR006,1
2026-05-11,LUZAR09,1
2026-05-10,COKA017,1
2026-05-10,PUKA024,1
2026-05-10,ARK032,1
2026-05-10,COMR052,1
2026-05-10,COMR027,1
2026-05-10,ARMR19,1
2026-05-10,ARMR007,1
2026-05-10,ARMR015,1
2026-05-10,COKA006,1
2026-05-10,PUKA38,1
2026-05-09,PACESC004,1
2026-05-09,ANKA028,1
2026-05-09,COMR043,1
2026-05-09,ARM017,1
2026-05-09,COSD047,1
2026-05-09,COLA040,1
2026-05-09,COSD011,1
2026-05-09,ACVI0013,1
2026-05-09,COSD051,1
2026-05-09,ARSS001,1
2026-05-09,ANKA40,1
2026-05-09,COSS010,1
2026-05-09,COMR042,1
2026-05-09,PUKA32,1
2026-05-09,CODU38,1
2026-05-09,ARDU011,1
2026-05-09,ARKA031,1
2026-05-09,LUZCO06,1
2026-05-09,CODU36,1
2026-05-09,COLA002,1
2026-05-09,ARLA001,1
2026-05-08,COKA016,1
2026-05-08,VITCIN07,1
2026-05-08,LUZAN04,1
2026-05-08,ARM016,1
2026-05-08,COMR025,1
2026-05-08,COSS005,1
2026-05-08,COLA021,1
2026-05-08,VITCIN05,1
2026-05-08,LUZCO02,1
2026-05-08,COMR045,1
2026-05-08,COSD015,1
2026-05-08,ARSD001,1
2026-05-08,ANDEC04,1
2026-05-08,ARSS010,1
2026-05-08,COSS005,1
2026-05-08,ARDU002,1
2026-05-08,ARDU020,1
2026-05-07,ANDV003,1
2026-05-07,ARLA024,1
2026-05-07,COKA012,1
2026-05-07,COLA021,1
2026-05-07,ARM015,1
2026-05-07,COMR023,1
2026-05-07,COSS003,1
2026-05-07,COSS012,1
2026-05-07,PASHARR02,1
2026-05-07,FRACO03,1
2026-05-07,ARDU014,1
2026-05-07,ANSD029,1
2026-05-06,PASHVIO066,1
2026-05-06,LUZAR04,1
2026-05-06,LUZCO04,1
2026-05-06,ARDU007,1
2026-05-06,ANKA028,1
2026-05-06,CODU008,1
2026-05-06,COKA005,1
2026-05-06,PUKA021,1
2026-05-06,CODU008,1
2026-05-06,ANDU001,1
2026-05-06,CODU017,1
2026-05-06,COLA073,1
2026-05-05,ACRA001,1
2026-05-05,COMR014,1
2026-05-05,ARDU010,1
2026-05-05,ARDU017,1
2026-05-05,CODU001,1
2026-05-04,PUDU008,1
2026-05-04,COMR006,1
2026-05-04,ARDU012,1
2026-05-04,ANDU004,1
2026-05-04,ARDU002,1
2026-05-04,CODU003,1
2026-05-04,CODU026,1
2026-05-04,COMR017,1
2026-05-04,COMR052,1
2026-05-04,LUZCO06,1
2026-05-04,ARSS003,1
2026-05-04,COKA045,1
2026-05-04,ARSS010,1
2026-05-03,ANSD005,1
2026-05-03,LUZAR08,1
2026-05-02,COSD002,1
2026-05-02,CODU020,1
2026-05-02,COSS002,1
2026-05-02,CODU008,1
2026-05-02,ARDU006,1
2026-05-02,COMR022,1
2026-05-02,COMR023,1
2026-05-02,COMR042,1
2026-05-02,ESCROM01,1
2026-05-02,ANKA027,1
2026-05-02,COKA026,1
2026-05-02,COMR041,1
2026-05-02,ARMR010,1
2026-05-02,ARKA028,1
2026-05-02,COKA006,1
2026-05-01,ARMR006,1
2026-05-01,ANSD005,1
2026-05-01,ANDU006,1
2026-05-01,FRACO05,1
2026-04-30,ARLA012,1
2026-04-30,COLA065,1
2026-04-30,CODU018,1
